,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
OR.TO,-0.4059466,0.12722874,,,2.0,0.98076,,9.0,12.061,,6.0,10.06,7.785,1538352000,22.251,-0.967,-0.954,81584000,0.18493,21.871,4.045,1784363776,CAD,,114958985,0.23,43.739132,-31933376,42.0,,,0.25826,87571000,,,Gold,,,1514678400,,,,1,86400,,,1530316800,-54799000,1577750400,16,65580000,0.07673,7.0,25.13,2,0.8340934,,-0.12420999,-0.12420999,7.463,buy,2.0,0.01086,-0.03539,6.507,2.881,,Basic Materials,6.0,156258000,0.0309,5177559,1536019200,5057691,,10.8,21.0,13.0,16.99,17.0,,,189631008,1.214,419228000,441164000,-0.358,,
OSB.TO,-0.26,0.12722874,,,2.0,2.141435,,9.0,13.91,,8.0,36.32,2.688,1538352000,45.522,0.786,0.794,842000000,0.34269002,4.418,1.514,3719866880,USD,,51761634,3.9,9.31282,316500000,2750.0,,,0.34798,678000000,,,Lumber & Wood Production,,,1514678400,1256083200,1/10,,1,86400,,,1530316800,559000000,1577750400,9,679000000,0.29304,9.0,-0.66,2,2.611071,,0.22750999,0.22750999,1.796,hold,2.7,0.22377001,0.56181,0.319,28.421,,Basic Materials,7.0,86693296,0.008,692548,1536019200,431559,,1.72,52.07,33.0,42.42,41.97,,,298000000,3.437,549000000,2456999936,6.429,,
OSK.TO,-0.37914693,0.12722874,,,2.0,1.886494,,8.0,2.024,,5.0,2.57,5.305,1538352000,,,,-26110000,0.0,-19.188,,501000704,CAD,,135655767,-0.05,-51.399998,-158640992,171.0,,,0.0,,,,Industrial Metals & Minerals,,,1514678400,,,,1,86400,,,1530316800,-34618000,1577750400,13,-15189000,0.0,5.0,,2,1.2697629,,0.0,0.0,5.268,buy,2.0,-0.042919997,-0.0883,,,,Basic Materials,1.0,250639008,0.040700004,9760413,1536019200,7477582,,12.27,5.0,2.5,4.1,4.1,,,58818000,0.282,0,,-0.171,,
OTEX.TO,0.09930766,0.12722874,,,2.0,0.440917,,3.0,13.92,,2.0,44.6,1.335,1538352000,70.496,0.326,0.338,805675008,0.28618,17.933,5.132,14448398336,USD,,262163463,2.96,15.067567,613224832,12200.0,,,0.72807,2049698000,,,Software - Application,,,1530316800,1485302400,2/1,,1,86400,,,1530316800,242224000,1593475200,7,709884992,0.1899,2.0,1.18,2,3.204023,,0.08604,0.08604,1.233,buy,2.3,0.04383,0.06684,0.137,10.58,,Technology,3.0,266960992,0.0047999998,1296128,1536019200,1221823,0.005,2.75,50.0,36.92,44.87,45.0,,,682942016,2.558,2620523008,2815240960,0.91,,
OXC.TO,-0.2241379,0.12722874,,,,-0.11106,,,1.193,,,0.205,1.408,1538352000,14.673,,,5086000,0.16763,33.262,5.576,169171696,USD,,60081275,0.08,,-28236876,129.0,,,0.57736,6131000,,,Oil & Gas E&P,,,1514678400,,,,1,86400,,,1530316800,-41769000,1577750400,1,-14931000,-0.75277,,,3,0.1718357,,-1.3766999,-1.3766999,0.79,hold,3.0,-0.01879,-0.07393,1.517,0.068,,Energy,,484667008,0.0,1000,1536019200,0,,0.05,0.38,0.38,0.38,0.38,,,21607000,0.045,80238000,30340000,-0.093,,
PAAS.TO,-0.1287809,0.12722874,,,2.0,2.334658,,7.0,10.38,,6.0,19.11,4.078,1538352000,1.91,0.026,0.02,290220992,0.3454,9.204,3.179,2671134464,USD,,149962665,0.71,26.915495,102475624,4360.0,,,0.39997002,295157000,,,Silver,,,1514678400,,,,1,86400,,,1530316800,149711008,1577750400,6,244432992,0.21757999,5.0,2.52,2,1.8410405,,0.17817,0.17817,2.293,buy,2.0,0.05783,0.09977,0.075,5.483,,Basic Materials,1.0,153318000,0.0033000002,507047,1536019200,503429,,2.33,23.0,17.88,20.18,20.1,,,250248000,1.633,30488000,840243008,0.97,,
PBH.TO,-0.12002736,0.12722874,,,1.0,0.415651,,5.0,22.444,,10.0,86.77,1.918,1538352000,126.197,0.079,0.146,207000000,0.08316,19.214,1.598,3977252608,CAD,,28250252,5.3,16.371696,-68812496,6531.0,,,0.19292,418600000,,,Packaged Foods,,,1514592000,,,,1,86400,,,1530316800,82300000,1577664000,10,85700000,0.06376,9.0,0.93,2,3.8660665,,0.03306,0.03306,0.95,buy,2.1,0.05974,0.14008,0.319,81.343,,Consumer Defensive,5.0,33765300,0.026600001,908748,1536019200,876107,,7.69,145.0,110.0,127.75,129.0,,,15700000,0.471,943200000,2489100032,2.682,,
PBL.TO,0.6027397,0.12722874,,,,-1.141294,,,4.314,,,22.86,2.707,1538352000,74.672,-0.214,-0.165,55326000,0.17426,11.999,2.091,663867264,CAD,,8254096,1.11,20.594595,10816750,1322.0,,,0.23823,65738000,,,Gambling,,,1514678400,,,,1,86400,,,1530316800,18545000,1577750400,4,33326000,0.12470999,,,2,5.2990265,,0.05841,0.05841,1.427,buy,1.8,0.11613,0.22693,0.114,13.012,,Consumer Cyclical,,25613200,0.0004,9200,1536019200,5001,,0.87,28.0,24.0,26.0,26.0,,,9028000,0.352,82512000,317496000,0.76,,
PD.TO,0.33126938,0.12722874,,,1.0,2.862534,,4.0,6.013,,7.0,4.13,1.79,1538352000,98.289,,,321241984,0.23054,9.04,2.084,2904151040,CAD,,292229634,0.02,206.50002,219290256,4851.0,,,0.30831,395053000,,,Oil & Gas Equipment & Services,,,1514678400,,,,1,86400,,,1530316800,-138586000,1577750400,13,247930000,-0.02649,4.0,0.44,2,0.6868452,,-0.09946,-0.09946,1.654,buy,2.4,-0.0058099995,-0.075729996,0.137,4.751,,Energy,3.0,293782016,0.0168,4944576,1536019200,4429426,,3.82,7.77,4.5,6.47,6.5,,,94669000,0.322,1735842048,1393412992,-0.473,,
PEGI.TO,-0.22659612,0.12722874,,,5.0,0.29487,,1.0,11.977,,2.0,23.0,0.905,1538352000,99.0,1.096,1.301,234420992,0.52758,23.679,12.493,5550851072,USD,,92039856,0.49,46.938774,-27057750,210.0,,,0.62687,259597000,,,Utilities - Independent Power Producers,,,1514678400,,,,1,86400,,,1530316800,130649000,1577750400,2,183974000,0.02631,2.0,0.8,2,1.9203473,,0.29451,0.29451,0.302,hold,3.0,0.00151,-0.03882,0.29,4.708,,Utilities,3.0,98096304,0.0008,74366,1536019200,68282,0.0008,6.89,20.0,17.88,18.94,18.94,,,116733000,1.19,2211364096,444334016,1.384,,
