,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
VSI,0.8149533,0.06675303,,,2.0,0.639391,,5.0,8.261,,8.0,9.55,1.955,1538092800,33.338,,,56174000,0.048189998,5.166,0.249,290210784,USD,,14058668,0.21,45.476192,48277624,3860.0,,,0.41856998,357557000,0.02656,1.07831,Specialty Retail,,,1514592000,,,,1,86400,,,1530316800,-100690000,1577664000,3,84440000,0.0099,5.0,-3.91,2,1.1560345,,-0.08614001,-0.08614001,0.108,hold,3.0,0.01439,-0.41171002,-0.011,49.928,,Consumer Cyclical,4.0,24019500,0.1685,4053704,1535673600,4326228,0.3109,4.97,14.0,10.0,12.0,12.0,,,1910000,0.081,64544000,1165569024,-4.305,,
VSLR,0.2479999,0.06675303,,,2.0,-1.323821,,10.0,2.587,,10.0,4.71,1.775,1538092800,240.098,2.75,2.638,-18153000,-0.06239,-92.334,5.761,1676140416,USD,,33382125,0.24,19.625,-283890496,2322.0,,,0.15784,37746000,0.02459,0.89436996,Solar,,,1514678400,,,,1,86400,,,1530316800,195966000,1577750400,4,-39296000,-0.28539,10.0,-3.6,2,1.8206418,,0.6735,0.6735,1.485,strong_buy,1.4,-0.02337,-0.02982,0.107,2.523,,Technology,6.0,118599000,0.0558,6617529,1535673600,6819069,0.21790001,22.54,11.0,6.0,8.25,8.0,,,174006000,1.467,1128146944,290967008,1.625,,
VSM,-0.1982758,0.06675303,,,1.0,0.609,,4.0,1.141,,2.0,31.39,4.428,1538092800,623.776,0.208,0.201,422800000,0.32127997,9.862,3.168,4169672704,USD,,108570025,2.54,12.358268,78512496,2200.0,,,0.42264,490000000,0.00329,0.94655,Chemicals,,,1506729600,,,,1,86400,,,1530316800,188100000,1569801600,8,211300000,0.28229,2.0,0.85,2,27.510954,,0.14293,0.14293,3.22,buy,2.0,0.17924999,2.63008,0.204,12.09,,Basic Materials,2.0,108949000,0.0231,2520373,1535673600,2411982,0.0232,5.82,50.0,38.0,45.13,46.0,,,289500000,2.657,981200000,1316000000,1.71,,
VST,0.27488148,0.06675303,,,1.0,-0.411,,4.0,16.141,,7.0,24.22,1.275,1538092800,142.292,,,1003000000,0.16402,23.701,3.887,23771721728,USD,,419519791,2.19,11.0593605,603750016,4150.0,,,0.28634,1692000000,0.00364,0.0,Utilities - Independent Power Producers,,,1514678400,1376006400,1/50,,1,86400,,,1530316800,-504000000,1577750400,11,1024000000,0.0036000002,6.0,1.78,2,1.5005265,,-0.08242,-0.08242,0.73,buy,1.8,0.00067000004,-0.06725,0.986,13.505,,Utilities,8.0,518616992,0.033800002,17505786,1535673600,16602318,0.0657,4.23,37.0,24.0,29.0,29.0,,,772000000,1.489,11980999680,6114999808,-1.113,,
VSTO,-0.23915142,0.06675303,,,1.0,-0.312739,,1.0,20.409,,10.0,15.72,2.606,1538092800,75.039,,,121922000,0.053740002,14.128,0.759,1722572288,USD,,51991241,0.51,30.82353,167513376,5700.0,,,0.215,520962000,0.00841,0.99391997,Leisure,,,1522454400,,,,1,86400,,,1530403200,-129232000,1585612800,3,285236992,0.01492,4.0,2.43,2,0.7702484,,-0.05697,-0.05697,1.154,hold,3.0,0.0076200003,-0.10573,-0.07,39.59,,Consumer Cyclical,2.0,57528300,0.0756,4350580,1535673600,4409990,0.0874,11.8,18.5,16.0,17.5,18.0,,,66133000,1.15,880908032,2268549888,-2.255,,
VTR,-0.15489388,0.06675303,,,1.0,0.327461,,5.0,29.789,,10.0,53.31,0.555,1538092800,96.079,0.095,0.097,1865576960,0.51168996,15.824,8.097,29521414144,USD,,355234255,1.57,33.955414,1425655168,493.0,,,0.56517,2078091000,0.00386,0.87921,REIT - Healthcare Facilities,,,1514678400,1439856000,8757/10000,,1,86400,,,1530316800,1251778048,1577750400,16,1429115008,0.27723,9.0,5.77,2,1.7895868,,0.34333,0.34333,0.399,hold,3.1,0.027139999,0.11733,0.043,10.24,,Real Estate,5.0,356439008,0.0212,7538661,1535673600,7760980,0.028399998,3.96,62.0,43.0,55.94,56.0,,,93684000,0.263,10402896896,3645885952,3.478,,
VVC,0.06798446,0.06675303,,,1.0,0.248798,,5.0,22.404,,2.0,71.46,0.715,1538092800,120.131,-0.411,-0.41,651900032,0.241,12.505,3.014,8152115200,USD,,82961059,3.06,23.352942,-92512496,5500.0,,,0.65774,1769800000,0.00153,0.67371005,Utilities - Regulated Gas,,,1514678400,,,,1,86400,,,1530316800,208800000,1577750400,4,465400000,0.13604,3.0,3.1,2,3.189609,,0.07719,0.07719,0.51,hold,3.0,0.0378,0.1142,0.022,32.551,,Utilities,6.0,83100000,0.0128,1060080,1535673600,873348,0.0161,2.79,72.0,64.0,70.0,72.0,,,9800000,0.118,2236600064,2704999936,2.51,,
VVI,-0.1169256,0.06675303,,,1.0,0.63724,,1.0,20.808,,1.0,53.39,0.636,1538092800,54.096,-0.162,-0.159,114824000,0.091309994,11.388,1.04,1307592960,USD,,18545833,2.91,18.347078,11345875,3521.0,,,0.05554,95026000,0.02073,0.93646,Business Services,,,1514678400,,,,1,86400,,,1530316800,35911000,1577750400,1,84484000,0.046279997,1.0,1.45,2,2.56584,,0.02949,0.02949,0.494,buy,2.0,0.03762,0.0856,-0.003,62.27,,Industrials,5.0,20325500,0.018,365357,1535673600,329277,0.0208,4.88,70.0,70.0,70.0,70.0,,,49386000,2.43,239478000,1257489024,1.812,,
VVV,-0.1822722,0.06675303,,,1.0,0.97,,1.0,-1.492,,1.0,19.64,1.859,1538092800,,0.216,0.143,563000000,0.25156,8.7,2.189,4898179072,USD,,190266338,1.48,13.270269,176124992,5600.0,,,0.35791,778000000,0.0022200001,1.0217401,Oil & Gas Refining & Marketing,,,1506729600,,,,1,86400,,,1530316800,226000000,1569801600,11,-106000000,0.22878,1.0,1.4,2,,,0.10098,0.10098,1.336,buy,2.1,0.16802,,0.081,11.176,,Energy,4.0,190747008,0.0862,16440931,1535673600,15297844,0.0943,11.41,27.0,20.0,23.82,24.0,,,107000000,0.561,1256999936,2238000128,1.129,,
VZ,0.10896242,0.06675303,,,1.0,0.724326,,6.0,12.591,,3.0,53.73,0.955,1538092800,215.955,-0.068,-0.055,46876000256,0.36157,7.165,2.591,335855124480,USD,,4130696025,4.73,11.359407,9094124544,153100.0,,,0.58783,74649000000,0.00032000002,0.66335,Telecom Services,,,1514678400,1278028800,1000000/937889,,1,86400,,,1530316800,30954000384,1577750400,26,32432001024,0.22735001,3.0,1.92,2,4.267334,,0.23876,0.23876,0.793,buy,2.4,0.07136,0.78249,0.054,31.598,,Communication Services,4.0,4131940096,0.008,33213396,1535673600,42206850,0.008,2.26,65.0,45.0,56.62,57.5,,,1750000000,0.424,115697999872,129647001600,7.536,,
W,0.6635593,0.06675303,,,2.0,2.159033,,5.0,-2.185,,9.0,122.67,0.892,1538092800,,,,-263602000,-0.046269998,-39.114,1.81,10310405120,USD,,55881072,-3.09,-39.699028,55961376,9700.0,,,0.23194,1118823000,0.06219,1.13172,Specialty Retail,,,1514678400,,,,1,86400,,,1530316800,-357708992,1577750400,21,96158000,-0.05802,10.0,-1.97,2,,,-0.06279,-0.06279,0.685,buy,2.5,-0.20265,,0.474,64.587,,Consumer Cyclical,10.0,59660800,0.1024,9185455,1535673600,9122040,0.22709998,7.05,165.0,60.0,129.52,135.0,,,575385984,6.416,483305984,5696738816,-4.056,,
WAAS,0.29970098,0.06675303,,,2.0,1.138,,9.0,12.769,,9.0,16.86,6.172,1536883200,50.592,,,17488000,0.13522,30.808,4.166,538778176,USD,,13053324,-0.68,-24.794119,-4090875,600.0,,,0.47856998,,0.11843,0.82087,Utilities - Regulated Water,,,1514678400,,,,1,86400,,,1530316800,-25770000,1577750400,7,17310000,-0.09106,9.0,0.59,2,1.3203853,,-0.19926001,-0.19926001,5.492,buy,1.7,-0.01382,-0.07353,0.154,4.883,,Utilities,9.0,26580900,0.045100003,1198223,1534291200,1240601,0.101,17.15,29.0,21.0,23.14,22.0,,,107402000,4.041,171712000,129329000,-0.973,,
WAB,0.29341865,0.06675303,,,2.0,0.481501,,7.0,29.644,,4.0,95.43,1.523,1538092800,65.571,0.16,0.172,563889984,0.13422,19.499,2.617,10995571712,USD,,75264268,4.61,20.700651,236709504,18000.0,,,0.27808002,1077113000,0.111669995,1.0336499,Railroads,,,1514678400,1370995200,2/1,,1,86400,,,1530316800,288262016,1577750400,12,270417984,0.10912,4.0,1.66,2,3.2192013,,0.06882,0.06882,0.908,buy,2.2,0.04369,0.10583,0.192,43.9,,Industrials,3.0,96544896,0.056700002,5478556,1535673600,6504423,0.0641,4.95,125.0,67.0,107.83,113.5,,,245574000,2.548,1884920960,4201326080,2.991,,
WAGE,-0.35680753,0.06675303,,,5.0,1.348957,,6.0,15.163,,5.0,41.09,1.383,1538092800,40.752,0.5,0.643,91659000,0.19853,10.708,2.126,981499648,USD,,39437957,1.91,21.51309,148746624,1951.0,,,0.63308996,234489000,0.00565,1.0980101,Business Services,,,1483142400,,,,1,86400,,,1506729600,45549000,1546214400,5,184831008,0.13194,6.0,1.54,2,2.7098858,,0.09866,0.09866,1.355,buy,2.2,0.02782,0.09292,0.302,12.249,,Industrials,5.0,39636500,0.0432,2296628,1535673600,2388948,,3.79,87.0,55.0,69.0,65.0,,,892353024,22.513,244791008,461688992,1.175,,
WAIR,0.12698412,0.06675303,,,2.0,-0.229402,,9.0,6.858,,3.0,10.69,3.606,1538092800,129.329,,,136515008,0.08951,13.887,1.243,1895760896,USD,,53972446,0.95,11.252631,-19984250,2978.0,,,0.25691998,361907000,0.11622,0.9297,Industrial Distribution,,,1506729600,,,,1,86400,,,1530316800,-12907000,1569801600,5,-13147000,0.070199996,7.0,-1.17,2,1.5587635,,-0.00846,-0.00846,1.006,hold,3.0,0.037130002,-0.01884,0.128,15.385,,Industrials,8.0,99493904,0.0514,5109656,1535673600,4956063,0.0935,15.88,14.0,8.0,11.6,12.0,,,46318000,0.466,882468992,1525185024,-0.13,,
WAL,0.040407896,0.06675303,,,2.0,1.628942,,5.0,22.845,,3.0,53.65,,1538092800,,0.303,0.309,,0.0,,6.543,5752316928,USD,,96453912,4.61,11.637744,,1773.0,,,0.0,812758000,0.0738,0.86236,Banks - Regional - US,,,1514678400,,,,1,86400,,,1530316800,377768992,1577750400,14,455726016,0.58364,3.0,1.51,2,2.3484352,,0.42969,0.42969,,buy,1.6,0.01879,0.16976999,0.161,8.417,,Financial Services,4.0,105876000,0.0275,2906198,1535673600,2347215,0.0297,3.96,75.0,65.0,69.07,69.0,,,507415008,4.847,491257984,879171008,3.59,,
WAT,-0.034228742,0.06675303,,,1.0,1.375577,,7.0,25.64,,2.0,181.8,6.578,1538092800,58.147,0.215,0.181,823681024,0.34612,15.349,5.313,12642544640,USD,,73709194,8.94,20.335571,466923360,7000.0,,,0.59202,1362011000,0.045440003,1.0247799,Diagnostics & Research,,,1514678400,967420800,2/1,,1,86400,,,1530316800,50560000,1577750400,15,622937024,0.30014,4.0,2.21,2,7.090484,,0.021240002,0.021240002,5.772,hold,2.8,0.09753,0.0225,0.068,30.145,,Healthcare,6.0,77067000,0.0438,3374091,1535673600,3036183,0.0433,7.22,230.0,190.0,204.93,205.0,,,2248493056,29.176,1148450048,2379748096,0.635,,
WBC,-0.27115476,0.06675303,,,2.0,1.609331,,4.0,22.6,,2.0,107.82,2.477,1536883200,82.101,0.211,0.197,613800000,0.16296,10.531,1.716,6464000000,USD,,49678227,8.19,13.164836,241562496,14631.0,,,0.3083,1028400000,0.00482,0.97869,Auto Parts,,,1514678400,,,,1,86400,,,1530316800,443200000,1577750400,14,445200000,0.13126001,3.0,2.24,2,4.7707963,,0.11767,0.11767,1.772,buy,2.1,0.08518,0.42176998,0.259,70.262,,Consumer Cyclical,7.0,52904900,0.0222,1176543,1534291200,1027368,0.0221,3.16,165.0,115.0,138.5,135.0,,,793000000,14.989,1049500032,3766500096,8.236,,
WBS,0.12194204,0.06675303,,,5.0,1.129795,,4.0,28.431,,1.0,58.22,,1538092800,,0.344,0.326,,0.0,,7.567,8091578880,USD,,91022127,4.05,14.375308,,3302.0,,,0.0,1014865000,0.01031,0.94313,Banks - Regional - US,,,1514678400,892598400,2/1,,1,86400,,,1530316800,287577984,1577750400,11,519488000,0.39371,2.0,2.06,2,2.0477648,,0.27707002,0.27707002,,hold,2.7,0.01114,0.110419996,0.109,11.633,,Financial Services,3.0,92228496,0.0388,3575121,1535673600,3360068,0.0438,6.33,78.0,60.0,68.0,68.0,,,217615008,2.36,2665495040,1069369984,3.12,,
WBT,-0.13387972,0.06675303,,,1.0,1.116,,1.0,1.005,,4.0,18.55,1.413,1538092800,1041.335,-0.588,-0.598,286300000,0.18868,14.045,2.65,4021146624,USD,,125733361,1.08,17.175924,76550000,5800.0,,,0.36490002,536900000,0.00296,0.92504996,Diversified Industrials,,,1514678400,,,,1,86400,,,1530316800,123500000,1577750400,5,103800000,0.15546,1.0,1.05,2,18.45771,,0.08139,0.08139,0.725,buy,2.0,0.07411,1.6239301,0.134,10.878,,Industrials,1.0,140064000,0.0583,8169785,1535673600,7547723,0.0585,11.52,29.0,23.0,25.0,25.0,,,108700000,0.776,1466200064,1517400064,0.869,,
WCC,-0.12329692,0.06675303,,,1.0,1.741351,,4.0,46.096,,1.0,51.82,2.385,1538092800,61.259,0.196,0.17,390153984,0.0482,9.394,0.453,3665285376,USD,,43491596,5.38,9.63197,154198256,9100.0,,,0.19128,1484655000,0.00451,1.00502,Industrial Distribution,,,1514678400,,,,1,86400,,,1530316800,178583008,1577750400,11,169174000,0.04151,1.0,1.09,2,1.1241757,,0.022060001,0.022060001,1.395,buy,2.4,0.04498,0.08282,0.102,171.751,,Industrials,3.0,47099400,0.019199999,903722,1535673600,925087,0.0221,3.38,80.0,66.0,70.45,70.0,,,110940000,2.355,1326716032,8094714880,3.747,,
WCG,0.7990711,0.06675303,,,1.0,0.837381,,1.0,59.684,,5.0,307.77,1.228,1538092800,44.306,1.03,1.046,789900032,0.0438,11.161,0.489,8816020480,USD,,44520248,13.29,23.158012,1440174976,8900.0,,,0.14739001,2262400000,0.0051700003,0.89455,Health Care Plans,,,1514678400,,,,1,86400,,,1530316800,485600000,1577750400,15,1491699968,0.03976,5.0,1.37,2,5.156658,,0.02693,0.02693,1.152,buy,2.1,0.048060004,0.20131999,0.078,404.338,,Healthcare,8.0,49974900,0.0298,1488938,1535673600,1241778,0.0335,1.2,375.0,268.0,332.67,333.0,,,5891999744,131.614,1183800064,18033199104,10.757,,
WCN,0.07955682,0.06675303,,,5.0,0.382503,,5.0,24.077,,2.0,75.88,1.151,1538092800,60.099,0.108,0.122,1499554048,0.31611001,15.623,4.939,23427524608,USD,,262477130,2.81,27.00356,644633024,15283.0,,,0.41811,1925713000,0.0032600001,0.90789,Waste Management,,,1514678400,1497830400,3/2,,1,86400,,,1530316800,701838016,1577750400,13,1300285056,0.17859,4.0,2.23,2,3.1515553,,0.14795,0.14795,0.952,buy,1.8,0.04472,0.11557,0.055,17.972,,Industrials,5.0,263364000,0.0056,1484497,1535673600,1325319,0.0064,2.42,92.7,80.0,86.44,86.0,,,155008992,0.589,3814256128,4743752192,2.659,,
WD,-0.13497376,0.06675303,,,1.0,1.060641,,3.0,28.572,,10.0,47.78,1.125,1538092800,162.887,0.185,0.189,,0.0,,4.004,2814132480,USD,,28993483,5.67,8.426807,,644.0,,,1.0,702355000,0.07665,0.84402,Specialty Finance,,,1514678400,,,,1,86400,,,1530316800,211312000,1577750400,4,393380000,0.31061,7.0,0.91,2,1.6722665,,0.30064,0.30064,0.196,buy,2.0,0.0796,0.27173,0.067,23.362,,Financial Services,7.0,31267200,0.024600001,768955,1535673600,936308,0.0378,3.95,65.0,58.0,62.5,63.5,,,108163000,3.459,1423015040,702867968,6.571,,
WDR,-0.030421913,0.06675303,,,1.0,1.899538,,3.0,11.023,,7.0,19.7,3.988,1538092800,10.503,0.898,0.848,278124992,0.23632,3.102,0.733,862725568,USD,,76485172,2.17,9.0783415,169682368,1430.0,,,0.33015,382344000,0.034360003,1.03304,Asset Management,,,1514678400,955324800,3/2,,1,86400,,,1530316800,174160992,1577750400,8,257014000,0.21788,5.0,0.87,2,1.7871724,,0.14799,0.14799,3.73,hold,3.3,0.118710004,0.19752,0.03,14.215,,Financial Services,8.0,79759296,0.1826,14565048,1535673600,14306288,0.2281,22.08,23.0,18.0,20.06,20.0,,,825188992,10.346,94819000,1176876032,2.104,,
WEC,0.038290024,0.06675303,,,1.0,-0.068225,,7.0,30.823,,3.0,67.49,0.593,1538092800,111.445,0.159,0.16,2505799936,0.32664,12.841,4.195,32178219008,USD,,314823498,3.51,19.22792,-399512512,8000.0,,,0.35189,2778700000,0.00189,0.75214,Utilities - Regulated Electric,,,1514678400,1299024000,2/1,,1,86400,,,1530316800,1269100032,1577750400,12,2326099968,0.21954,3.0,4.48,2,2.1895986,,0.16543,0.16543,0.365,buy,2.4,0.033689998,0.13402,0.025,24.312,,Utilities,3.0,315532992,0.0349,11015004,1535673600,11079198,0.0392,6.56,75.0,65.0,68.5,68.0,,,29800000,0.094,10872800256,7671499776,4.0,,
WELL,-0.09313941,0.06675303,,,1.0,0.441303,,1.0,36.619,,2.0,61.6,1.422,1538092800,75.241,-0.196,-0.17,1991840000,0.45815,17.954,8.226,35760934912,USD,,371190721,1.76,35.0,1419688192,392.0,,,0.48014998,2095939000,0.00224,0.87575996,REIT - Healthcare Facilities,,,1514678400,494640000,3/2,,1,86400,,,1530316800,554630016,1577750400,19,1428492032,0.2393,3.0,1.46,2,1.6821868,,0.13832,0.13832,1.218,hold,2.6,0.02339,0.040149998,0.062,11.727,,Real Estate,8.0,372028000,0.0336,12509733,1535673600,12800793,0.045,6.39,74.0,58.0,64.84,64.0,,,215120000,0.578,11435558912,4347540992,1.494,,
