,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
ACU,-0.1067881,0.12722874,,,,1.03897,,,15.478,,,20.98,4.624,1536883200,91.713,-0.107,-0.144,10729913,0.079239994,11.23,0.89,120496544,USD,,2959861,1.79,11.720671,-3744072,421.0,,,0.36693,47899273,0.12276,0.60383,Household & Personal Products,,,1514678400,,,,1,86400,,,1530316800,3746479,1577750400,2,4222876,0.05657,,1.44,2,1.3554723,,0.02767,0.02767,2.067,strong_buy,1.0,0.04201,0.07377,0.023,40.154,,Consumer Defensive,,3374060,0.0087,29329,1534291200,32756,0.0124,7.6,29.0,25.25,27.13,27.13,,,1894000,0.561,47896000,135415344,1.02,,
ACY,0.017006755,0.12722874,,,,-0.866138,,,33.601,,,14.58,0.249,1536883200,310.154,,,24170800,0.70567,6.806,4.803,164514992,USD,,1260380,1.84,7.923913,160450,,,,0.92926,31540600,0.4133,0.216,Rental & Leasing Services,,,1514678400,,,,1,86400,,,1530316800,6638200,1577750400,1,17055700,0.34835997,,,2,0.43391564,,0.19379999,0.19379999,0.213,buy,2.0,0.030639999,0.1499,-0.056,24.182,,Industrials,,1416700,0.002,2775,1534291200,1644,0.0026,0.84,17.5,17.5,17.5,17.5,,,4378000,3.09,147642496,34252400,4.687,,
AINC,0.13856888,0.12722874,,,2.0,1.186021,,8.0,19.693,,9.0,73.15,1.454,1536883200,27.17,,,6515000,0.043319996,21.789,0.944,141957952,USD,,1739697,7.46,9.80563,35078752,102.0,,,0.19454001,10617000,0.52656,0.17452998,Asset Management,,,1514678400,,,,1,86400,,,1530316800,-6035000,1577750400,1,19616000,0.00681,9.0,,2,3.7145178,,-0.04004,-0.04004,1.142,hold,3.0,0.00588,-0.17363001,1.853,72.662,,Financial Services,9.0,2380700,0.0187,39527,1534291200,35837,0.0431,5.71,95.0,95.0,95.0,95.0,,,40868000,19.374,12991000,150372992,-6.342,,
AIRI,0.0,0.12722874,,,,-0.30071,,,0.691,,,1.38,1.228,1536883200,162.6,,,-3325000,-0.07039,-19.936,1.403,66287632,USD,,20922990,-0.12,-11.5,-2990750,275.0,,,0.083579995,4867000,0.47507,0.20792,Aerospace & Defense,,,1514678400,1287014400,1/400,,1,86400,,,1530316800,-13266000,1577750400,2,-3664000,-0.13003,,,2,1.9971057,,-0.43840998,-0.43840998,0.253,buy,2.0,-0.05513,-0.66103,-0.074,2.105,,Industrials,,27227600,0.0014,36129,1534291200,42397,0.0018000001,1.48,2.5,2.0,2.25,2.25,,,405000,0.015,29694000,47234000,-0.89,,
AKG,-0.13639998,0.12722874,,,2.0,0.038929,,3.0,1.372,,5.0,0.8562,2.258,1536883200,,,,116311000,0.47489,1.616,0.767,187961264,USD,,170362807,0.03,28.54,-310010624,,,,0.53853,126765000,0.22311,0.51183,Gold,,,1514678400,,,,1,86400,,,1530316800,-142394000,1577750400,5,107566000,0.21316999,5.0,,4,0.62405246,,-0.58138,-0.58138,0.08,hold,2.6,0.05263,-0.38042,0.11,1.173,,Basic Materials,6.0,225804992,0.0026,589245,1534291200,307213,,1.68,2.33,0.97,1.57,1.36,,,18756000,0.083,0,244924000,-0.682,,
ALO,-0.83140874,0.12722874,,,2.0,-1.205389,,2.0,3.274,,4.0,0.72,3.148,1536883200,8.741,-0.494,-0.065,13851000,0.14525,4.003,0.581,55443880,USD,,80254243,0.4,1.8000001,-83986496,356.0,,,0.21216999,30703000,0.041100003,0.25957,Gold,,,1514678400,1494892800,1/10,,1,86400,,,1530316800,8858000,1577750400,5,-9561000,0.094060004,3.0,,2,0.2199145,,0.092889994,0.092889994,1.226,buy,2.4,0.01931,0.04145,-0.031,1.993,,Basic Materials,6.0,83784096,0.0191,1596630,1534291200,1500254,,3.9,7.09,4.33,5.47,5.51,,,29732000,0.355,23980000,95358000,0.184,,
APHB,-0.3761468,0.12722874,,,,3.130145,,,0.506,,,0.59,2.987,1536883200,,,,-8836000,0.0,-1.221,186.044,10790527,USD,,13625878,-0.79,-0.7468354,-6076250,31.0,,,0.0,-2766000,0.04802,0.10832,Biotechnology,,,1514678400,1493078400,1/10,,1,86400,,,1530316800,-9315000,1577750400,1,-8671000,-158.93103,,,2,1.1660079,,0.0,0.0,2.83,buy,2.0,-0.42953,-1.02363,,0.005,,Healthcare,,16468300,0.0652,1073600,1534291200,821241,0.0797,8.58,6.0,6.0,6.0,6.0,,,5798000,0.352,0,58000,-0.773,,
ASM,-0.5987898,0.12722874,,,,0.072679,,,1.311,,,0.6455,1.576,1536883200,17.044,-0.236,-0.272,7338763,0.21179001,6.016,1.274,44148092,USD,,53147630,0.15,4.3033333,-8139106,,,,0.28,11383511,0.04458,0.11833,Silver,,,1514678400,,,,1,86400,,,1530316800,2437461,1577750400,3,4866062,0.10858,,,4,0.49237224,,0.07034,0.07034,0.944,buy,2.0,0.02259,0.03522,0.16,0.651,,Basic Materials,,55805700,0.0201,1150142,1534291200,1127559,,8.76,3.23,2.79,3.0,2.98,,,4766000,0.085,12473000,34651640,0.04,,
AST,-0.6095238,0.12722874,,,,2.347774,,,0.506,,,1.16,6.536,1536883200,11.567,,,-22132000,0.0,-2.563,24.628,56718560,USD,,27771351,-0.44,-2.6363635,-7728625,31.0,,,0.90664,3877000,0.40233,0.17797,Biotechnology,,,1514678400,1412208000,1348/1000,,1,86400,,,1530316800,-22651000,1577750400,5,-17438000,-11.24012,,,2,2.2924902,,0.0,0.0,6.09,buy,2.2,-0.39029998,-0.69924,-0.655,0.043,,Healthcare,,55509400,0.0651,3611388,1534291200,3365104,0.111,26.77,13.0,5.5,9.5,11.0,,,14805000,0.267,3247000,2303000,-0.423,,
ATNM,0.14739132,0.12722874,,,,3.096813,,,0.157,,,0.77,4.194,1536883200,,,,-23122936,0.0,-2.847,,65836048,USD,,108956732,-0.26,-3.08,-10582653,25.0,,,0.0,,0.01364,0.10031,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-22672072,1577750400,6,-18708684,0.0,,,2,4.9044585,,0.0,0.0,4.078,buy,1.8,-0.81439,-1.73143,,,,Healthcare,,110463000,0.0337,3721804,1534291200,3621714,0.033800002,5.3,6.0,3.0,4.29,4.38,,,21474264,0.194,0,,-0.258,,
